enrollment_id,enrollment_date,company_id,course_id,city,state,city_tier,gender,age_group,referral_source,payment_mode,device_type,original_price_inr,discount_pct,discount_amount_inr,final_price_inr,gst_amount_inr,net_revenue_inr,platform_cost_inr,gross_profit_inr,gross_margin_pct,course_completed,student_rating,refund_issued,support_tickets_raised
EDU00545,2024-10-31,9,17,Vadodara,Gujarat,Tier 3,Male,13-17,YouTube,Net Banking,Tablet,16999,25,4249.75,12749.25,2294.86,10454.39,5448.17,5006.22,47.89,Yes,4.2,No,1
EDU00396,2024-11-06,7,20,Faridabad,Delhi NCR,Tier 2,Other,35-44,Email Campaign,EMI,Tablet,8999,50,4499.5,4499.5,809.91,3689.59,2052.6,1636.99,44.37,No,,Yes,1
EDU00640,2024-05-21,13,19,Chennai,Tamil Nadu,Tier 1,Other,18-24,WhatsApp,Credit Card,Desktop,9999,30,2999.7,6999.3,1259.87,5739.43,2797.85,2941.58,51.25,Yes,3.1,No,0
EDU01671,2023-08-12,2,12,Mumbai,Maharashtra,Tier 1,Female,25-34,YouTube,Net Banking,Mobile,4999,0,0,4999,899.82,4099.18,1743.29,2355.89,57.47,Yes,3.1,No,0
EDU01426,2023-06-26,4,18,Ahmedabad,Gujarat,Tier 1,Other,13-17,Word of Mouth,Net Banking,Desktop,11999,10,1199.9,10799.1,1943.84,8855.26,4140.28,4714.98,53.24,Yes,,No,0
EDU02418,2024-12-21,7,20,Mumbai,Maharashtra,Tier 1,Male,45+,School/College Partnership,Debit Card,Desktop,8999,0,0,8999,1619.82,7379.18,3259.12,4120.06,55.83,Yes,4.5,No,0
EDU02069,2024-09-11,9,21,NOIDA,Delhi NCR,Tier 1,Male,13-17,Email Campaign,Net Banking,Desktop,8999,0,0,8999,1619.82,7379.18,2457.09,4922.09,66.7,Yes,3.8,No,0
EDU02322,2023-09-16,8,27,Chennai,Tamil Nadu,Tier 1,Male,18-24,Google Ads,Credit Card,Mobile,14999,15,2249.85,12749.15,2294.85,10454.3,3767.51,6686.79,63.96,No,,No,0
EDU01252,2024-04-01,7,28,New Delhi,Delhi NCR,Tier 1,Other,45+,Instagram,EMI,Desktop,18999,30,5699.7,13299.3,2393.87,10905.43,3801,7104.43,65.15,No,,No,0
EDU00064,2024-10-15,1,6,Hyderabad,Telangana,Tier 1,Male,25-34,Direct/Organic,UPI,Mobile,8499,20,1699.8,6799.2,1223.86,5575.34,2054.91,3520.43,63.14,Yes,3.6,No,0
EDU01716,2023-11-05,6,24,Nagpur,Maharashtra,Tier 2,Male,35-44,YouTube,UPI,Mobile,22999,15,3449.85,19549.15,3518.85,16030.3,7740.39,8289.91,51.71,Yes,4.5,No,0
EDU00859,2024-07-09,4,21,Jodhpur,Rajasthan,Tier 3,Other,35-44,YouTube,Debit Card,Desktop,8999,0,0,8999,1619.82,7379.18,3525.06,3854.12,52.23,Yes,3.3,No,0
EDU00948,2024-07-11,14,23,Madurai,Tamil Nadu,Tier 3,Other,35-44,School/College Partnership,Debit Card,Mobile,11999,40,4799.6,7199.4,1295.89,5903.51,3463.78,2439.73,41.33,Yes,3.3,No,0
EDU02145,2023-04-03,9,23,Madurai,Tamil Nadu,Tier 3,Female,45+,School/College Partnership,Net Banking,Tablet,11999,0,0,11999,2159.82,9839.18,4296.21,5542.97,56.34,No,,No,0
EDU00357,2023-09-15,6,26,Pune,Maharashtra,Tier 1,Other,45+,Word of Mouth,Wallet,Mobile,12999,40,5199.6,7799.4,1403.89,6395.51,3096.5,3299.01,51.58,No,,No,0
EDU00271,2024-11-04,4,25,Chennai,Tamil Nadu,Tier 1,Female,13-17,YouTube,Wallet,Desktop,7999,5,399.95,7599.05,1367.83,6231.22,2645.48,3585.74,57.54,Yes,4.5,No,0
EDU02112,2023-06-23,9,15,Ahmedabad,Gujarat,Tier 1,Male,35-44,School/College Partnership,Wallet,Mobile,29999,40,11999.6,17999.4,3239.89,14759.51,8037.87,6721.64,45.54,Yes,3.6,No,0
EDU01938,2024-12-07,8,21,Faridabad,Delhi NCR,Tier 2,Male,25-34,Google Ads,Wallet,Mobile,8999,50,4499.5,4499.5,809.91,3689.59,1907.33,1782.26,48.31,No,,No,1
EDU00807,2024-02-11,11,3,Hyderabad,Telangana,Tier 1,Other,13-17,Direct/Organic,Wallet,Desktop,7499,50,3749.5,3749.5,674.91,3074.59,1257.82,1816.77,59.09,Yes,3.7,No,0
EDU00504,2024-07-07,12,2,Madurai,Tamil Nadu,Tier 3,Female,13-17,Instagram,Net Banking,Desktop,9999,20,1999.8,7999.2,1439.86,6559.34,2560.13,3999.21,60.97,No,,Yes,1
EDU00122,2024-04-25,2,10,Madurai,Tamil Nadu,Tier 3,Female,35-44,Direct/Organic,UPI,Mobile,34999,30,10499.7,24499.3,4409.87,20089.43,7641.14,12448.29,61.96,Yes,3.9,No,0
EDU00197,2023-08-15,11,25,Coimbatore,Tamil Nadu,Tier 2,Male,35-44,Direct/Organic,UPI,Desktop,7999,25,1999.75,5999.25,1079.87,4919.38,1713.33,3206.05,65.17,No,,No,0
EDU01654,2023-11-03,9,13,Kolkata,West Bengal,Tier 1,Other,25-34,WhatsApp,Credit Card,Tablet,15999,0,0,15999,2879.82,13119.18,4948.23,8170.95,62.28,Yes,4.5,No,0
EDU01140,2023-12-08,1,16,Surat,Gujarat,Tier 2,Other,18-24,Instagram,EMI,Desktop,12999,0,0,12999,2339.82,10659.18,3905.05,6754.13,63.36,No,,No,3
EDU01344,2024-04-18,5,3,Nagpur,Maharashtra,Tier 2,Other,13-17,Instagram,Net Banking,Mobile,7499,0,0,7499,1349.82,6149.18,2922.4,3226.78,52.47,Yes,3.8,No,1
EDU00588,2024-08-12,4,15,New Delhi,Delhi NCR,Tier 1,Other,18-24,Email Campaign,Credit Card,Mobile,29999,30,8999.7,20999.3,3779.87,17219.43,5854.24,11365.19,66,Yes,3.7,No,0
EDU00733,2023-05-14,8,27,Pune,Maharashtra,Tier 1,Other,18-24,Google Ads,EMI,Tablet,14999,10,1499.9,13499.1,2429.84,11069.26,3872,7197.26,65.02,Yes,,No,0
EDU01607,2023-07-20,13,4,Noida,Delhi NCR,Tier 1,Male,35-44,School/College Partnership,Credit Card,Tablet,6999,0,0,6999,1259.82,5739.18,2961.7,2777.48,48.4,No,,No,1
EDU01390,2024-10-26,15,6,Mysuru,Karnataka,Tier 2,Other,45+,Instagram,EMI,Mobile,8499,20,1699.8,6799.2,1223.86,5575.34,2840.94,2734.4,49.04,Yes,4.2,No,0
EDU01076,2023-05-14,10,8,Vadodara,Gujarat,Tier 3,Female,35-44,WhatsApp,Credit Card,Desktop,4999,10,499.9,4499.1,809.84,3689.26,1459.22,2230.04,60.45,No,,Yes,0
EDU01766,2024-10-19,8,8,MANGALURU,Karnataka,Tier 3,Other,25-34,Direct/Organic,Credit Card,Mobile,4999,0,0,4999,899.82,4099.18,1644.12,2455.06,59.89,No,,No,0
EDU00242,2024-10-31,11,14,Nagpur,Maharashtra,Tier 2,Female,13-17,Word of Mouth,Credit Card,Tablet,6999,10,699.9,6299.1,1133.84,5165.26,2396.43,2768.83,53.6,Yes,3.9,No,0
EDU00279,2023-03-08,14,26,Pune,Maharashtra,Tier 1,Female,13-17,Google Ads,Net Banking,Mobile,12999,0,0,12999,2339.82,10659.18,4236.8,6422.38,60.25,No,,No,1
EDU01932,2023-01-04,13,17,Hyderabad,Telangana,Tier 1,Female,13-17,WhatsApp,UPI,Tablet,16999,0,0,16999,3059.82,13939.18,5518.11,8421.07,60.41,No,,No,1
EDU02287,2023-10-26,2,14,Jaipur,Rajasthan,Tier 2,Other,18-24,Instagram,Debit Card,Desktop,6999,0,0,6999,1259.82,5739.18,2768.27,2970.91,51.77,Yes,3,No,1
EDU02382,2024-09-25,1,12,Jodhpur,Rajasthan,Tier 3,Male,18-24,Google Ads,Credit Card,Tablet,4999,0,0,4999,899.82,4099.18,1718.76,2380.42,58.07,Yes,4.4,No,0
EDU02054,2023-06-08,15,8,Ghaziabad,Delhi NCR,Tier 2,Male,35-44,WhatsApp,Credit Card,Tablet,4999,0,0,4999,899.82,4099.18,1761.8,2337.38,57.02,No,,No,0
EDU01839,2024-03-29,15,3,Jodhpur,Rajasthan,Tier 3,Female,18-24,Word of Mouth,Net Banking,Mobile,7499,15,1124.85,6374.15,1147.35,5226.8,2015.98,3210.82,61.43,No,,Yes,1
EDU00218,2024-12-29,13,29,Surat,Gujarat,Tier 2,Female,35-44,Email Campaign,Debit Card,Mobile,6999,10,699.9,6299.1,1133.84,5165.26,2561.92,2603.34,50.4,Yes,,Yes,0
EDU01537,2023-01-29,3,24,Vadodara,Gujarat,Tier 3,Male,45+,Word of Mouth,Credit Card,Mobile,22999,10,2299.9,20699.1,3725.84,16973.26,7435.79,9537.47,56.19,Yes,2.6,No,1
EDU01443,2023-10-30,13,1,Jodhpur,Rajasthan,Tier 3,Female,18-24,Email Campaign,Wallet,Tablet,24999,10,2499.9,22499.1,4049.84,18449.26,6447.62,12001.64,65.05,Yes,3.9,No,0
EDU01941,2023-10-23,4,25,Kolkata,West Bengal,Tier 1,Male,35-44,Instagram,UPI,Desktop,7999,5,399.95,7599.05,1367.83,6231.22,2002.62,4228.6,67.86,Yes,,No,0
EDU01498,2024-10-25,11,21,Ghaziabad,Delhi NCR,Tier 2,Other,13-17,School/College Partnership,Debit Card,Desktop,8999,30,2699.7,6299.3,1133.87,5165.43,2326.66,2838.77,54.96,Yes,4.1,No,0
EDU00464,2023-10-27,15,20,Surat,Gujarat,Tier 2,Female,35-44,Instagram,Credit Card,Mobile,8999,25,2249.75,6749.25,1214.87,5534.38,2300.11,3234.27,58.44,No,,Yes,1
EDU01693,2024-05-13,9,6,New Delhi,Delhi NCR,Tier 1,Female,35-44,Direct/Organic,UPI,Desktop,8499,15,1274.85,7224.15,1300.35,5923.8,2318.67,3605.13,60.86,Yes,3.9,No,0
EDU00187,2023-06-06,7,4,Madurai,Tamil Nadu,Tier 3,Other,18-24,Word of Mouth,Wallet,Tablet,6999,50,3499.5,3499.5,629.91,2869.59,1830.05,1039.54,36.23,No,,No,1
EDU00749,2024-11-06,1,26,Warangal,Telangana,Tier 3,Female,35-44,YouTube,UPI,Mobile,12999,10,1299.9,11699.1,2105.84,9593.26,4011.27,5581.99,58.19,Yes,2.7,No,0
EDU00537,2024-02-07,2,26,Mumbai,Maharashtra,Tier 1,Other,13-17,Direct/Organic,Wallet,Desktop,12999,0,0,12999,2339.82,10659.18,3286.58,7372.6,69.17,Yes,3.9,No,0
EDU01959,2023-06-12,4,16,Coimbatore,Tamil Nadu,Tier 2,Other,25-34,YouTube,Credit Card,Desktop,12999,50,6499.5,6499.5,1169.91,5329.59,3156.68,2172.91,40.77,No,,No,0
EDU02071,2023-02-21,12,9,BENGALURU,Karnataka,Tier 1,Male,45+,School/College Partnership,UPI,Mobile,19999,50,9999.5,9999.5,1799.91,8199.59,4033.97,4165.62,50.8,Yes,4.2,No,0
EDU01776,2023-05-26,15,15,Hyderabad,Telangana,Tier 1,Male,25-34,School/College Partnership,Credit Card,Mobile,29999,5,1499.95,28499.05,5129.83,23369.22,8074.25,15294.97,65.45,Yes,,No,0
EDU00978,2024-09-07,10,7,Kolkata,West Bengal,Tier 1,Other,25-34,Instagram,Credit Card,Desktop,8999,10,899.9,8099.1,1457.84,6641.26,2188.59,4452.67,67.05,No,,No,0
EDU00515,2024-02-18,4,25,Ghaziabad,Delhi NCR,Tier 2,Male,45+,Email Campaign,UPI,Desktop,7999,10,799.9,7199.1,1295.84,5903.26,2230.62,3672.64,62.21,No,,No,1
EDU02158,2023-01-14,5,9,Hyderabad,Telangana,Tier 1,Male,13-17,Email Campaign,Debit Card,Desktop,19999,0,0,19999,3599.82,16399.18,5756.67,10642.51,64.9,No,,No,1
EDU00171,2024-08-20,13,19,HYDERABAD,Telangana,Tier 1,Other,13-17,Word of Mouth,UPI,Desktop,9999,40,3999.6,5999.4,1079.89,4919.51,2631,2288.51,46.52,Yes,,No,0
EDU00984,2024-03-16,15,2,Jaipur,Rajasthan,Tier 2,Female,25-34,Word of Mouth,Debit Card,Desktop,9999,20,1999.8,7999.2,1439.86,6559.34,2882.03,3677.31,56.06,Yes,3.7,No,2
EDU02433,2023-01-17,3,13,Ahmedabad,Gujarat,Tier 1,Male,25-34,Google Ads,Net Banking,Desktop,15999,0,0,15999,2879.82,13119.18,5504.61,7614.57,58.04,Yes,3.9,No,0
EDU02480,2023-02-23,7,24,Howrah,West Bengal,Tier 3,Male,25-34,Instagram,UPI,Desktop,22999,0,0,22999,4139.82,18859.18,9819.76,9039.42,47.93,Yes,2.9,No,2
EDU00513,2024-10-13,3,3,New Delhi,Delhi NCR,Tier 1,Other,45+,Direct/Organic,Credit Card,Mobile,7499,0,0,7499,1349.82,6149.18,2421.36,3727.82,60.62,Yes,3.7,No,1
EDU00616,2024-12-08,8,4,Vadodara,Gujarat,Tier 3,Male,45+,School/College Partnership,Debit Card,Desktop,6999,25,1749.75,5249.25,944.87,4304.38,1989.41,2314.97,53.78,No,,No,0
EDU02090,2024-10-07,13,6,Howrah,West Bengal,Tier 3,Female,25-34,Email Campaign,Credit Card,Tablet,8499,10,849.9,7649.1,1376.84,6272.26,2915.73,3356.53,53.51,No,,No,0
EDU00597,2024-08-24,13,12,Pune,Maharashtra,Tier 1,Female,45+,Email Campaign,Debit Card,Mobile,4999,0,0,4999,899.82,4099.18,1729.19,2369.99,57.82,Yes,4.3,No,1
EDU00472,2024-09-19,6,11,Nagpur,Maharashtra,Tier 2,Female,18-24,Direct/Organic,Wallet,Tablet,12999,40,5199.6,7799.4,1403.89,6395.51,3120.99,3274.52,51.2,Yes,3.3,No,0
EDU00750,2024-07-03,5,5,Coimbatore,Tamil Nadu,Tier 2,Female,35-44,YouTube,EMI,Tablet,14999,5,749.95,14249.05,2564.83,11684.22,4916.36,6767.86,57.92,Yes,3.7,No,0
EDU01211,2024-05-22,6,8,Pune,Maharashtra,Tier 1,Female,13-17,Word of Mouth,Wallet,Desktop,4999,15,749.85,4249.15,764.85,3484.3,1347.44,2136.86,61.33,Yes,3.4,No,0
EDU01602,2023-09-06,11,29,Mangaluru,Karnataka,Tier 3,Female,25-34,School/College Partnership,UPI,Mobile,6999,0,0,6999,1259.82,5739.18,2817.16,2922.02,50.91,No,,No,2
EDU02210,2024-11-02,7,26,Pune,Maharashtra,Tier 1,Male,35-44,YouTube,Net Banking,Mobile,12999,0,0,12999,2339.82,10659.18,4202.47,6456.71,60.57,Yes,3.9,No,0
EDU00659,2023-02-16,1,29,Warangal,Telangana,Tier 3,Female,25-34,School/College Partnership,EMI,Mobile,6999,0,0,6999,1259.82,5739.18,1945.78,3793.4,66.1,Yes,2.6,No,0
EDU01779,2024-08-17,12,1,Mysuru,Karnataka,Tier 2,Female,45+,WhatsApp,EMI,Tablet,24999,0,0,24999,4499.82,20499.18,7889.2,12609.98,61.51,No,,Yes,0
EDU01929,2023-04-18,3,19,Surat,Gujarat,Tier 2,Male,45+,School/College Partnership,UPI,Tablet,9999,10,999.9,8999.1,1619.84,7379.26,2580.68,4798.58,65.03,No,,No,1
EDU01627,2023-04-06,12,13,BENGALURU,Karnataka,Tier 1,Male,45+,Google Ads,Net Banking,Desktop,15999,10,1599.9,14399.1,2591.84,11807.26,4249.32,7557.94,64.01,No,,No,0
EDU00201,2024-09-11,12,24,Ahmedabad,Gujarat,Tier 1,Female,18-24,Email Campaign,Debit Card,Mobile,22999,30,6899.7,16099.3,2897.87,13201.43,4845.74,8355.69,63.29,No,,No,0
EDU00220,2024-09-03,3,4,Ahmedabad,Gujarat,Tier 1,Male,45+,Word of Mouth,EMI,Tablet,6999,0,0,6999,1259.82,5739.18,2006.96,3732.22,65.03,Yes,2.7,No,0
EDU01154,2023-01-30,10,14,New Delhi,Delhi NCR,Tier 1,Female,13-17,WhatsApp,EMI,Tablet,6999,0,0,6999,1259.82,5739.18,2275.11,3464.07,60.36,No,,Yes,1
EDU00001,2024-10-16,12,15,Faridabad,Delhi NCR,Tier 2,Other,45+,Instagram,EMI,Desktop,29999,5,1499.95,28499.05,5129.83,23369.22,10395.46,12973.76,55.52,Yes,4.3,No,0
EDU00038,2023-10-30,13,20,Kolkata,West Bengal,Tier 1,Male,45+,School/College Partnership,Net Banking,Tablet,8999,40,3599.6,5399.4,971.89,4427.51,2040.36,2387.15,53.92,No,,No,2
EDU00621,2024-04-23,14,27,Nashik,Maharashtra,Tier 2,Female,35-44,YouTube,Credit Card,Mobile,14999,50,7499.5,7499.5,1349.91,6149.59,3043.5,3106.09,50.51,No,,No,1
EDU01375,2024-10-08,7,21,Mangaluru,Karnataka,Tier 3,Other,18-24,Word of Mouth,Credit Card,Desktop,8999,10,899.9,8099.1,1457.84,6641.26,3396.92,3244.34,48.85,Yes,3.7,No,0
EDU02315,2023-02-11,6,27,Ahmedabad,Gujarat,Tier 1,Male,13-17,Email Campaign,Credit Card,Mobile,14999,5,749.95,14249.05,2564.83,11684.22,4813.86,6870.36,58.8,Yes,3.6,No,0
EDU00254,2024-01-27,2,2,GHAZIABAD,Delhi NCR,Tier 2,Male,35-44,Email Campaign,Wallet,Mobile,9999,25,2499.75,7499.25,1349.87,6149.38,2985.22,3164.16,51.45,Yes,,No,0
EDU01491,2023-07-01,2,4,Kolkata,West Bengal,Tier 1,Female,13-17,Direct/Organic,Wallet,Tablet,6999,0,0,6999,1259.82,5739.18,2521.34,3217.84,56.07,Yes,2.3,No,0
EDU00401,2023-12-28,15,27,Vadodara,Gujarat,Tier 3,Male,13-17,School/College Partnership,Wallet,Tablet,14999,5,749.95,14249.05,2564.83,11684.22,5178.89,6505.33,55.68,Yes,4,No,2
EDU02490,2023-02-01,2,18,Gurugram,Delhi NCR,Tier 1,Male,25-34,Word of Mouth,EMI,Desktop,11999,25,2999.75,8999.25,1619.87,7379.38,3181.81,4197.57,56.88,Yes,3.1,No,1
EDU01694,2023-08-28,15,2,Jaipur,Rajasthan,Tier 2,Female,13-17,School/College Partnership,EMI,Desktop,9999,30,2999.7,6999.3,1259.87,5739.43,2601.25,3138.18,54.68,Yes,3,No,0
EDU02360,2023-12-10,10,28,Kolkata,West Bengal,Tier 1,Other,13-17,School/College Partnership,Debit Card,Mobile,18999,0,0,18999,3419.82,15579.18,6356.51,9222.67,59.2,No,,No,2
